id,book_title,book_author,publication_date,description,cover_path,category
hj1d1_10,Pride and Prejudice,Jane Austen,1813-01-28T00:00:00Z,"Pride and Prejudice follows the turbulent relationship between Elizabeth Bennet, the daughter of a country gentleman, and Fitzwilliam Darcy, a rich aristocratic landowner. They must overcome the titular sins of pride and prejudice in order to fall in love and marry.",./Book_Covers/pride_and_prejudice,Romance
hj1d1_11,Frankenstein,Mary Shelley,1818-01-01T00:00:00Z,"Frankenstein tells the story of gifted scientist Victor Frankenstein who succeeds in giving life to a being of his own creation. However, this is not the perfect specimen he imagines that it will be, but rather a hideous creature who is rejected by Victor and mankind in general.",./Book_Covers/frankenstein,Horror
