127.0.0.1 - - [11/Apr/2024:10:32:30 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1475
127.0.0.1 - - [11/Apr/2024:10:36:06 +0000] "POST /solr/new_core/update HTTP/1.1" 200 58
127.0.0.1 - - [11/Apr/2024:10:36:08 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:08 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:08 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:08 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:09 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:09 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:09 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:10 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:10 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:10:36:10 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:10 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:10:36:11 +0000] "GET /solr/new_core/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [11/Apr/2024:10:36:40 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:36:40 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:36:40 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1463
127.0.0.1 - - [11/Apr/2024:10:36:41 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:36:41 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:36:41 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=OR&useParams= HTTP/1.1" 200 4021
127.0.0.1 - - [11/Apr/2024:10:36:41 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1463
127.0.0.1 - - [11/Apr/2024:10:37:55 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:37:55 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:37:55 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=category:Romance&q.op=OR&useParams= HTTP/1.1" 200 2607
127.0.0.1 - - [11/Apr/2024:10:37:55 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1468
127.0.0.1 - - [11/Apr/2024:10:38:04 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:38:04 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:38:04 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=category:Horror&q.op=OR&useParams= HTTP/1.1" 200 1760
127.0.0.1 - - [11/Apr/2024:10:38:04 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1468
127.0.0.1 - - [11/Apr/2024:10:38:23 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:38:23 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:38:23 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=category:Horror%0Abook:%22The+Shining%22&q.op=AND&useParams= HTTP/1.1" 200 3055
127.0.0.1 - - [11/Apr/2024:10:38:23 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1468
127.0.0.1 - - [11/Apr/2024:10:44:22 +0000] "GET /solr/new_core/update?stream.body=%3Cdelete%3E%3Cquery%3E*:*%3C/query%3E%3C/delete%3E&commit=true HTTP/1.1" 200 156
127.0.0.1 - - [11/Apr/2024:10:44:33 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:44:33 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:44:33 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=category:Horror%0Abook:%22The+Shining%22&q.op=AND&useParams= HTTP/1.1" 200 287
127.0.0.1 - - [11/Apr/2024:10:44:33 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1469
127.0.0.1 - - [11/Apr/2024:10:44:42 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:44:42 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
